Mission Start:  2022-03-28T23:01:58.340Z
Mission Stop :  2022-03-28T23:19:02.342Z
Time : 2022-03-28 23:04:08.824000+00:00 	 14 : 53 	 observations/state
Time : 2022-03-28 23:04:08.932000+00:00 	 14 : 53 	 observations/state
Time : 2022-03-28 23:04:09.042000+00:00 	 14 : 53 	 observations/state
Time : 2022-03-28 23:04:09.156000+00:00 	 14 : 53 	 observations/state
Time : 2022-03-28 23:04:09.263000+00:00 	 14 : 53 	 observations/state
Time : 2022-03-28 23:04:09.373000+00:00 	 14 : 52 	 observations/state
Time : 2022-03-28 23:04:09.480000+00:00 	 14 : 52 	 observations/state
Time : 2022-03-28 23:04:09.586000+00:00 	 14 : 52 	 observations/state
Time : 2022-03-28 23:04:09.691000+00:00 	 14 : 52 	 observations/state
Time : 2022-03-28 23:04:09.795000+00:00 	 14 : 52 	 observations/state
Time : 2022-03-28 23:04:09.902000+00:00 	 14 : 52 	 observations/state
Time : 2022-03-28 23:04:10.007000+00:00 	 14 : 52 	 observations/state
Time : 2022-03-28 23:04:10.115000+00:00 	 14 : 52 	 observations/state
Time : 2022-03-28 23:04:10.226000+00:00 	 14 : 52 	 observations/state
Time : 2022-03-28 23:04:10.336000+00:00 	 14 : 51 	 observations/state
Time : 2022-03-28 23:04:10.441000+00:00 	 14 : 51 	 observations/state
Time : 2022-03-28 23:04:10.546000+00:00 	 14 : 51 	 observations/state
Time : 2022-03-28 23:04:10.652000+00:00 	 14 : 51 	 observations/state
Time : 2022-03-28 23:04:10.762000+00:00 	 14 : 51 	 observations/state
Time : 2022-03-28 23:04:10.866000+00:00 	 14 : 51 	 observations/state
Time : 2022-03-28 23:04:10.974000+00:00 	 14 : 51 	 observations/state
Time : 2022-03-28 23:04:11.081000+00:00 	 14 : 51 	 observations/state
Time : 2022-03-28 23:04:11.187000+00:00 	 14 : 51 	 observations/state
Time : 2022-03-28 23:04:11.296000+00:00 	 14 : 51 	 observations/state
Time : 2022-03-28 23:04:11.415000+00:00 	 14 : 50 	 observations/state
Time : 2022-03-28 23:04:11.524000+00:00 	 14 : 50 	 observations/state
Time : 2022-03-28 23:04:11.636000+00:00 	 14 : 50 	 observations/state
Time : 2022-03-28 23:04:11.746000+00:00 	 14 : 50 	 observations/state
Time : 2022-03-28 23:04:11.866000+00:00 	 14 : 50 	 observations/state
Time : 2022-03-28 23:04:11.974000+00:00 	 14 : 50 	 observations/state
